iter	Logloss
0	0.6180553388
1	0.5563104751
2	0.504049256
3	0.4608906964
4	0.4219258295
5	0.3882727484
6	0.3586774096
7	0.3303476926
8	0.3054317447
9	0.2831060387
10	0.2637858671
11	0.24608985
12	0.2292280213
13	0.2157688742
14	0.203521425
15	0.191813406
16	0.1799965586
17	0.1699202635
18	0.1603684412
19	0.1528814818
20	0.1449766714
21	0.1384209164
22	0.1312866369
23	0.1246370855
24	0.1187336512
25	0.1131638453
26	0.1087068236
27	0.1050949819
28	0.1004724999
29	0.09630210186
30	0.09267501473
31	0.08888663584
32	0.08622403703
33	0.08301916141
34	0.08068497774
35	0.07895003313
36	0.07635331991
37	0.07324612128
38	0.07124645092
39	0.06895378158
40	0.06638298015
41	0.06453167498
42	0.0626292445
43	0.06068519843
44	0.05926057176
45	0.05758866623
46	0.05684230401
47	0.0553625328
48	0.05389877457
49	0.05229359686
50	0.05089516984
51	0.04964751741
52	0.04827142007
53	0.04746474801
54	0.04617497891
55	0.04518420034
56	0.04399653258
57	0.04308030441
58	0.04234086391
59	0.04128020982
60	0.04053131026
61	0.03951073924
62	0.03861581195
63	0.03771941608
64	0.03708354016
65	0.03616101394
66	0.03589711442
67	0.03518253827
68	0.03440358241
69	0.03367381152
70	0.03317679375
71	0.0323728003
72	0.03171664163
73	0.03120067109
74	0.03048672128
75	0.03004386989
76	0.02967974805
77	0.02921004934
78	0.02867394798
79	0.02818969155
80	0.02790247888
81	0.02727740798
82	0.02689437335
83	0.02640768085
84	0.0258953644
85	0.02540985263
86	0.0248974882
87	0.02464363944
88	0.02417996426
89	0.02382994172
90	0.02341063536
91	0.02313918779
92	0.02301006322
93	0.02238381694
94	0.02199362072
95	0.02166761364
96	0.02133211552
97	0.02104714834
98	0.02074858293
99	0.02038638142
